user_id,default_profile,default_profile_image,favourites_count,followers_count,friends_count,listed_count,statuses_count,geo_enabled,protected,verified,has_extended_profile,is_translator,user_lang,senti_polarity,senti_subjectivity,place_reference,possibly_sensitive,is_a_reply,is_quote_status,is_a_retweet,favorite_count,retweet_count,hash_tags_cnt,media_cnt,url_ref_cnt,symbols_cnt,user_ref_cnt,tweet_freq_hrs,bot_flg
2320579934,0,0,2,191,28,9,60523,0,0,0,0,0,id,0.093,0.217,0.0,0.0,0.003,0.012,0.206,0.071,40.582,0.094,0.06,0.754,0.0,0.263,5.257,1
44001801,0,0,1352,255,230,53,14848,1,0,0,1,0,en,0.193,0.35,0.004,0.0,0.204,0.052,0.174,0.403,182.847,0.729,0.155,0.687,0.0,0.792,8.893,1
2943250305,1,0,1517,219,1298,3,1504,1,0,0,0,0,en,0.136,0.345,0.148,0.0,0.151,0.038,0.459,0.201,5786.09,0.356,0.227,0.29,0.0,0.926,18.95,1
15522756,0,0,1525,15780,1199,473,28269,0,0,0,0,0,en,0.105,0.294,0.0,0.0,0.029,0.025,0.097,0.497,1.437,0.214,0.347,0.902,0.0,0.48,6.692,1
544382991,0,0,649,796,2240,318,3609,0,0,0,0,0,en,0.084,0.21,0.0,0.0,0.023,0.029,0.226,0.442,37.325,1.661,0.28,0.678,0.0,0.782,13.174,1
3252788801,1,0,5690,42,0,2,5694,0,0,0,0,0,en,0.13,0.33,0.0,0.0,0.0,0.01,1.0,0.0,2074.719,0.377,0.248,0.972,0.031,1.14,0.18,1
2961731166,1,0,0,170,347,1,3728,0,0,0,0,0,en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.0,0.0,0.664,0.0,0.0,8.078,1
2868782895,1,0,164,32,8,0,7287,0,0,0,0,0,en,0.062,0.156,0.0,0.0,0.0,0.097,0.996,0.001,68.889,1.403,0.198,0.103,0.0,1.344,2.808,1
78465193,0,0,0,1080,223,106,46641,0,0,0,0,0,en,0.108,0.326,0.0,0.0,0.0,0.0,0.0,0.083,0.017,1.002,0.0,1.002,0.0,0.0,3.313,1
1080786510,0,0,3005,1572,943,185,106728,0,0,0,0,0,en,0.078,0.332,0.0,0.0,0.013,0.042,0.267,0.149,97.13,0.914,0.026,0.831,0.0,0.412,3.166,1
568579411,1,0,8,388,2730,25,47928,0,0,0,0,0,en,-0.014,0.221,0.0,0.0,0.0,0.157,0.693,0.031,148.264,0.131,0.171,0.663,0.0,1.217,2.308,1
1651736654,0,0,2274,49,122,2,2049,0,0,0,0,0,id,0.031,0.167,0.001,0.0,0.016,0.001,0.855,0.009,435.173,0.384,0.453,0.345,0.001,1.13,24.004,1
2903627705,1,1,6,8,145,0,1105,1,0,0,0,0,en,0.1,0.312,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.03,0.0,0.812,0.0,0.001,29.418,1
387038254,1,0,1,10,13,0,239,0,0,0,0,0,en,0.454,0.63,0.0,0.0,0.004,0.0,0.0,0.017,0.008,0.791,0.046,0.987,0.0,0.017,102.523,1
3032426165,0,0,105,722,278,23,5890,0,0,1,0,0,en,0.133,0.261,0.0,0.002,0.0,0.004,0.028,0.101,0.219,0.195,0.977,0.989,0.0,0.124,1.734,1
80999737,0,0,2,120,81,1,4577,1,0,0,0,0,en,0.043,0.134,0.0,0.0,0.031,0.0,0.002,0.003,5.872,0.588,0.581,0.606,0.0,0.492,18.593,1
4080075975,1,0,65,24,139,0,218,0,0,0,0,0,en,0.081,0.274,0.0,0.0,0.303,0.0,0.156,0.61,233.468,0.161,0.317,0.188,0.0,0.638,7.697,1
